Fiscal_Year,No_Of_Industries,Total_Project_Cost,Total_Fixed_Price,Foreign_Investment,Total_No_Of_Employment
2046,59,5425.92,4581.82,466.84,10586
2046/47,30,2438.19,2139.6,398.51,9515
2047/48,23,863.56,690.74,406.28,2974
2048/49,38,3508.17,2902.1,597.84,5615
2049/50,64,17886.22,16210.81,3083.67,13873
2050/51,38,3733.23,3175.66,1378.76,4734
2051/52,19,1627.28,1247.85,477.59,2386
2052/53,47,10047.47,9398.54,2219.86,8032
2053/54,77,8559.25,6692.15,2395.54,9347
2054/55,77,5569.38,5142.32,2000.28,4336
2055/56,50,5324.42,4380.17,1666.42,2146
2056/57,71,2669.09,1910.24,1417.61,4703
2057/58,96,7917.62,6122.49,3102.56,6880
2058/59,77,3318.53,1559.59,1209.65,3731
2059/60,74,4921.82,3608.25,1793.77,3572
2060/61,78,4323.74,3775.86,2764.8,2144
2061/62,37,1112.72,702.36,571.02,4265
