year AD,year BS,value
1970,2027,
1971,2028,
1972,2029,
1973,2030,
1974,2031,
1975,2032,
1976,2033,
1977,2034,
1978,2035,
1979,2036,
1980,2037,
1981,2038,
1982,2039,
1983,2040,
1984,2041,
1985,2042,
1986,2043,
1987,2044,
1988,2045,
1989,2046,
1990,2047,
1991,2048,
1992,2049,
1993,2050,3.0
1994,2051,9.0
1995,2052,9.0
1996,2053,18.0
1997,2054,22.0
1998,2055,24.0
1999,2056,27.0
2000,2057,17.0
2001,2058,24.0
2002,2059,34.0
2003,2060,26.0
2004,2061,64.0
2005,2062,66.0
2006,2063,79.0
2007,2064,4.0
2008,2065,5.0
2009,2066,12.0
2010,2067,32.0
2011,2068,39.0
